"rank","artist_names","track_name","peak_rank","previous_rank","weeks_on_chart","streams","track_id","popularity","duration"
1,"Lady Gaga, Bruno Mars","Die With A Smile",1,1,18,68135080,"2plbrEY59IikOBgBGLjaoe",100,251667
2,"ROSÉ, Bruno Mars","APT.",1,2,9,60486312,"4wJ5Qq0jBN4ajy7ouZIV1c",91,169917
3,"Mariah Carey","All I Want for Christmas Is You",1,3,64,51621732,"0bYg9bo50gSsH3LtXe2SQn",86,241106
4,"Wham!","Last Christmas",2,4,58,50554131,"2FRnf9qhLbvw8fu4IBXx78",85,262960
5,"Billie Eilish","BIRDS OF A FEATHER",1,5,31,45417447,"6dOtVTDdiauQNBQEDOtlAB",96,210373
6,"Brenda Lee","Rockin' Around The Christmas Tree",3,6,50,44823735,"2EjXfH91m7f8HiJN1yQg97",84,126266
7,"Gracie Abrams","That’s So True",4,7,9,43330956,"7ne4VBA60CxGM75vw0EYad",96,166300
8,"Bobby Helms","Jingle Bell Rock",4,9,49,41055176,"7vQbuQcyTflfCIOu3Uzzya",82,130973
9,"Kendrick Lamar, SZA","luther (with sza)",3,8,4,35020901,"2CGNAOSuO1MEFCbBRgUzjd",88,177598
10,"Ariana Grande","Santa Tell Me",3,11,50,34645959,"0lizgQ7Qw35od7CYaoMBZb",83,204093
11,"Jimin","Who",1,10,22,34204629,"7tI8dRuH2Yc6RuoTjxo4dU",90,170887
12,"Sia","Snowman",9,16,38,30574093,"7uoFMmxln0GPXQ0AcCBXRq",83,165900
13,"Dean Martin","Let It Snow! Let It Snow! Let It Snow!",6,14,36,29668081,"2uFaJJtFpPDc5Pa95XzTvg",81,117146
14,"Gigi Perez","Sailor Song",7,13,18,29584305,"2262bWmqomIaJXwCRHr13j",93,211978
15,"Andy Williams","It's the Most Wonderful Time of the Year",7,18,46,29155927,"1IcR6RlgvDczfvoWJSSY2A",62,151000
16,"Kelly Clarkson","Underneath the Tree",9,21,38,28536313,"3nAp4IvdMPPWEH9uuXFFV5",79,229640
17,"Sabrina Carpenter","Espresso",1,12,36,27800226,"2HRqTpkrJO5ggZyyK6NPWz",88,175459
18,"Billie Eilish","WILDFLOWER",9,17,31,26696347,"3QaPy1KgI7nu9FJEQUgn6h",92,261466
19,"Michael Bublé","It's Beginning to Look a Lot like Christmas",6,24,47,26548915,"1rv46mRwDqMEhOBZ7vODg3",73,207199
20,"José Feliciano","Feliz Navidad",8,30,38,25708186,"3qCeq0rWK67SoBDgFd2sId",67,182306
21,"The Weeknd, Playboi Carti","Timeless (with Playboi Carti)",3,19,12,25558741,"1Es7AUAhQvapIcoh3qMKDL",93,256000
22,"Chappell Roan","Good Luck, Babe!",6,23,36,24120486,"0WbMK4wrZ1wFSty9F7FCgu",92,218423
23,"Oscar Maydon, Fuerza Regida","Tu Boda",5,22,11,23407509,"1cOboCuWYI2osTOfolMRS6",89,225880
24,"Benson Boone","Beautiful Things",1,26,48,23032821,"3xkHsmpQCBMytMJNiDf3Ii",86,180304
25,"Sabrina Carpenter","Taste",3,25,17,22792663,"5G2f63n7IPVPPjfNIGih7Q",90,157279
26,"Kendrick Lamar, Lefty Gunplay","tv off (feat. lefty gunplay)",7,20,4,22703538,"0aB0v4027ukVziUGwVGYpG",91,220690
27,"Arcane, Stromae, Pomme","Ma Meilleure Ennemie (from the series Arcane League of Legends)",6,15,4,22617119,"6BPcUXYERAahpunmb0AovH",48,147973
28,"Michael Bublé","Holly Jolly Christmas",12,35,40,22540345,"67mgz7S5y7hnCE63YBjfO6",71,121526
29,"The Ronettes","Sleigh Ride",12,40,35,22308152,"7fUYUcWy853HS8YJn0b3Sr",68,181266
30,"KAROL G","Si Antes Te Hubiera Conocido",5,28,26,21790676,"6WatFBLVB0x077xWeoVc2k",91,195824
31,"Tito Double P","ROSONES",31,65,2,21444614,"0LTwdL5yZ6YOTEGUQPFuSN",89,177590
32,"Rauw Alejandro, Bad Bunny","Qué Pasaría...",17,27,5,20590598,"0l0vcZMU7AOeQmUIREoI2U",91,191018
33,"Rauw Alejandro, Romeo Santos","Khé?",29,31,5,20312038,"1YYfyJ2yCvGFCxwjsIqEK9",88,206066
34,"ROSÉ","toxic till the end",29,29,2,20067075,"1z5ebC9238uGoBgzYyvGpQ",87,156685
35,"Justin Bieber","Mistletoe",15,53,42,20052665,"7xapw9Oy21WpfEcib2ErSA",79,182946
36,"Lola Young","Messy",36,87,2,19704871,"35ISBknsCeZQtq66xABI9g",86,284066
37,"Myke Towers, benny blanco","DEGENERE 👑 (feat. benny blanco)",37,43,9,19593691,"0qeIFEGRQqHoaJtLCl0U73",86,130880
38,"Sabrina Carpenter","Please Please Please",1,34,28,19319343,"2tHwzyyOLoWSFqYNjeVMzj",85,186365
